#Droga
-350; 800; -500; 350; 800; -500;
-350; 800; -500; -350; 2550; -500;
-350; 2550; -500; 350; 2550; -500;
350; 2550; -500; 350; 800; -500;

## BUDYNEK LEWY PRZOD
#Podloga
400; 1250; -500; 550; 1250; -500;
400; 1250; -500; 400; 1900; -500;
400; 1900; -500; 550; 1900; -500;
550; 1900; -500; 550; 1250; -500;
#Sufit
400; 1250; -300; 550; 1250; -300;
400; 1250; -300; 400; 1900; -300;
400; 1900; -300; 550; 1900; -300;
550; 1900; -300; 550; 1250; -300;
#Sciana przod
400; 1250; -500; 400; 1250; -300;
550; 1250; -300; 550; 1250; -500;
#Sciana tyl
400; 1900; -500; 400; 1900; -300;
550; 1900; -500; 550; 1900; -300;

## BUDYNEK LEWY TYL
#Podloga
410; 2000; -500; 700; 2000; -500;
410; 2000; -500; 410; 2550; -500;
410; 2550; -500; 700; 2550; -500;
700; 2550; -500; 700; 2000; -500;
#Sufit
410; 2000; -100; 700; 2000; -100;
410; 2000; -100; 410; 2550; -100;
410; 2550; -100; 700; 2550; -100;
700; 2550; -100; 700; 2000; -100;
#Sciana przod
410; 2000; -500; 410; 2000; -100;
700; 2000; -500; 700; 2000; -100;
#Sciana tyl
410; 2550; -500; 410; 2550; -100;
700; 2550; -500; 700; 2550; -100;

## BUDYNEK PRAWY PRZOD
# Podloga
-380; 1250; -500; -550; 1250; -500;
-380; 1250; -500; -380; 1650; -500;
-380; 1650; -500; -550; 1650; -500;
-550; 1650; -500; -550; 1250; -500;
# Sufit
-380; 1250; -450; -550; 1250; -450;
-380; 1250; -450; -380; 1650; -350;
-380; 1650; -350; -550; 1650; -350;
-550; 1650; -350; -550; 1250; -450;
#Sciana przod
-380; 1250; -500; -380; 1250; -450;
-550; 1250; -500; -550; 1250; -450;
#Sciana Tyl
-380; 1650; -500; -380; 1650; -350;
-550; 1650; -500; -550; 1650; -350;

## BUDYNEK PRAWY TYL
#Podloga
-380; 1850; -500; -550; 1850; -500;
-380; 1850; -500; -380; 2400; -500;
-380; 2400; -500; -550; 2400; -500;
-550; 2400; -500; -550; 1850; -500;
# Sufit
-380; 1850; 200; -550; 1850; 200;
-380; 1850; 200; -380; 2400; 200;
-380; 2400; 200; -550; 2400; 200;
-550; 2400; 200; -550; 1850; 200;
#Sciana przod
-380; 1850; -500; -380; 1850; 200;
-550; 1850; -500;  -550; 1850; 200;
#Sciana Tyl
-380; 2400; -500; -380; 2400; 200;
-550; 2400; -500; -550; 2400; 200;
